id,track_id,created_at,thread_id,username,body
351085427,327735419,2017/06/15 19:51:44 +0000,6346492,Can Dank,sick music too!
351070069,327735419,2017/06/15 18:02:39 +0000,6173907,Can Dank,Awesome job Abby. Incredible reporting. You might be the best journalist of our generation.
350806125,327735419,2017/06/14 00:17:03 +0000,4411159,Karl Knight,"Please join Mark Ames and Gary Brecher on their Radio War Nerd podcast to talk about your experience in Venesuela, Abby. I think you'd be a fantastic guest, plus they could provide some historical insights regarding Chavez."
350682574,327735419,2017/06/13 06:18:53 +0000,5627980,JD Moreno C,jajaj Marco Rubio little cuban rat-A
350675540,327735419,2017/06/13 04:45:40 +0000,6328818,Darragh Lambe,so hard to find!
350664055,327735419,2017/06/13 02:40:18 +0000,5382448,Michael Thompson 109,we listen to you abby bc you tell the truth
350649139,327735419,2017/06/13 00:37:26 +0000,882,Media Roots,"@user-201671209: Not blaming OPEC, I thought I just mentioned it as a point of how third parties could also cause resource devaluation. I agree that the main problem is the government's management and lack of economic diversification. -A"
350645907,327735419,2017/06/13 00:16:02 +0000,882,noblelie,"Interesting interview. However, I'm not sure why Abbey is blaming OPEC for Venezuelans oil revenue problems.  The real blame should be placed on the Venezuelan government. Over the last +20 year PDVSA has been managed so terribly that oil production in 2017 is expected to be at a 23 year low. Instead of investing in even basic maintenance, the government has instead used every dollar of oil revenue to support the local populace in an effort to stay in power. While on hand PSVU should be commended for trying to support the most venerable sector of Venezuelan society, on the other hand the government has completely destroyed the economy through excessive debt and poor management of its natural resource sector."
350642795,327735419,2017/06/12 23:48:32 +0000,3654665,litlgrey,"The goal of capitalist statism is, reliably, to create failed states.  Not a surprise, just so sad."
350618864,327735419,2017/06/12 20:22:44 +0000,6230433,Media Roots,(closing track) Fluorescent Grey - untitled 2017
350618828,327735419,2017/06/12 20:22:30 +0000,7848,Media Roots,(opening track) Fluorescent Grey - untitled 2017
350613629,327735419,2017/06/12 19:46:39 +0000,24947,JONNY 5,Lookit Robbie with the 160! =)
350611926,327735419,2017/06/12 19:33:43 +0000,4093237,Truth Freedom,thx
353987372,326900008,2017/07/05 22:48:50 +0000,1457920,matthew rowe,you really gonna say the r word. really. 
352853196,326900008,2017/06/27 20:08:24 +0000,3158844,Media Roots,@sonic-nebula: Thanks for the correction! -A
352192001,326900008,2017/06/23 04:06:53 +0000,3158844,Sonic Nebula,"Abby is mistaken. It's not Erdogan in the photo but Egyptian president el-Sisi. Part of the current Qatarstrophe is that el-Sisi is in the anti Muslim Brotherhood alliance with the Saudis, whereas Erdogan is in the pro Muslim Brotherhood camp with the Qataris. ."
352164001,326900008,2017/06/22 23:34:19 +0000,1293731,AznSkillz336,I'd like to bring up this video on why Tim Pool's requests to left-wing personalities for interviews & conversations have been rejected: https://youtu.be/i1XbjiFclSg.
